"Str Student","Restriction","Start Date","End Date","Class","Credits - Current Registered Credits + Completed Credits","Credits - Completed Credits Undergrad ONLY","Active Programs","Student Restrictions Id"
"1272133","INS26","2026-03-01","2026-03-22","SO","91.00","75.00","FILM.BFA","351481"
"1269288","INS26","2026-03-01","2026-03-15","JR","96.00","78.00","VCDS.BFA","351482"
"1274961","INS26","2026-03-01","","JR","78.00","66.00","GDES.BS","351483"
"1290590","INS26","2026-03-01","2026-03-05","FY","36.00","24.00","EDUC.BS","351484"
"1282046","INS26","2026-03-01","2026-03-23","SO","61.00","46.00","GMRT.BFA","351485"
"1275235","INS26","2026-03-01","2026-03-16","JR","103.00","88.00","GMRT.BFA","351486"
"1289332","INS26","2026-03-01","","SO","54.00","42.00","FILM.BFA","351487"
"1280679","INS26","2026-03-01","2026-03-22","SO","79.00","66.00","GPRO.BS","351488"
"1274708","INS26","2026-03-01","2026-03-05","SO","85.00","73.00","ANIM.BFA","351489"
"1274187","INS26","2026-03-01","","JR","98.00","80.00","CSIN.BS","351490"
"1288252","INS26","2026-03-01","","FY","27.00","12.00","GDES.BS","351491"
"1284441","INS26","2026-03-01","","FY","26.00","12.00","DIGF.BS","351492"
"1271766","INS26","2026-03-01","2026-03-10","SO","82.00","69.00","VCDS.BFA","351493"
"1288892","INS26","2026-03-01","","FY","30.00","15.00","GPRO.BS","351494"
"1282685","INS26","2026-03-01","","FY","45.00","33.00","GDES.BS","351495"
"1273688","INS26","2026-03-01","2026-03-25","SO","57.00","42.00","GMSD.BS","351496"
"1282088","INS26","2026-03-01","2026-03-23","SO","61.00","46.00","EDUC.BS","351497"
"1285304","INS26","2026-03-01","","FY","30.00","15.00","DIGF.BS","351498"
"1281507","INS26","2026-03-01","","SO","61.00","46.00","ANIM.BFA","351499"
"1272192","INS26","2026-03-01","2026-03-22","SO","76.00","60.00","VCDS.BFA","351500"
"1279614","INS26","2026-03-01","","FY","24.00","15.00","CNCS.BS","351501"
"1289500","INS26","2026-03-01","","FY","9.00","9.00","","351502"
"1280680","INS26","2026-03-01","","SO","70.00","52.00","GMRT.BFA","351503"
"1291070","INS26","2026-03-01","2026-03-24","FY","39.00","27.00","GDES.BS","351504"
"1272428","INS26","2026-03-01","2026-03-08","JR","97.00","85.00","GDES.BS","351505"
"1269683","INS26","2026-03-01","2026-03-22","JR","91.00","75.00","BRMP.BS","351506"
"1283285","INS26","2026-03-01","","SO","61.00","46.00","ANIM.BFA","351507"
"1268806","INS26","2026-03-01","2026-03-22","SO","87.00","72.00","PWRT.BS","351508"
"1282245","INS26","2026-03-01","","FY","43.00","30.00","GMSD.BS","351509"
"1278957","INS26","2026-03-01","2026-03-15","SO","71.00","56.00","CNCS.BS","351510"
"1274819","INS26","2026-03-01","","JR","94.00","79.00","BUSI.BSBA","351511"
"1271173","INS26","2026-03-01","2026-03-24","SO","88.00","73.00","GMRT.BFA","351512"
"1288161","INS26","2026-03-01","","FY","21.00","6.00","GDES.BS","351513"
"1281763","INS26","2026-03-01","","SO","77.00","62.00","CSIN.BS","351514"
"1280497","INS26","2026-03-01","","FY","30.00","15.00","GDES.BS","351515"
"1289499","INS26","2026-03-01","2026-03-25","FY","18.00","6.00","BUSI.BSBA","351516"
"1282436","INS26","2026-03-01","2026-03-22","SO","64.00","48.00","GDES.BS","351517"
"1288169","INS26","2026-03-01","","FY","33.00","18.00","GDES.BS","351518"
"1287047","INS26","2026-03-01","2026-03-18","FY","32.00","16.00","PSYC.BS","351519"
"1281323","INS26","2026-03-01","2026-03-23","FY","53.00","38.00","ASUS.BS","351520"
"1271156","INS26","2026-03-01","2026-03-05","SO","69.00","69.00","","351521"
"1287389","INS26","2026-03-01","2026-03-10","FY","30.00","15.00","MKCM.BS","351522"
"1283893","INS26","2026-03-01","","SO","82.00","67.00","GMSD.BS","351523"
"1282748","INS26","2026-03-01","2026-03-18","SO","78.00","65.00","EDUC.BS","351524"
"1281701","INS26","2026-03-01","2026-03-22","SO","67.00","52.00","GMSD.BS","351525"
"1268798","INS26","2026-03-01","2026-03-23","JR","91.00","76.00","GDES.BS","351526"
"1285503","INS26","2026-03-01","","SO","53.00","40.00","GPMG.BS","351527"
"1286007","INS26","2026-03-01","","FY","30.00","24.00","GDES.BS","351528"
"1290373","INS26","2026-03-01","2026-03-16","FY","33.00","18.00","UN.BUS.BS","351529"
"1269024","INS26","2026-03-01","2026-03-22","SO","85.00","69.00","FILM.BFA","351530"
"1282525","INS26","2026-03-01","","FY","33.00","18.00","GPRO.BS","351531"
"1274397","INS26","2026-03-01","2026-03-15","JR","93.00","78.00","PWRT.BS","351532"
"1273990","INS26","2026-03-01","","SO","73.00","60.00","DHMS.BS","351533"
"1278838","INS26","2026-03-01","","FY","27.00","27.00","","351534"
"1252484","INS26","2026-03-01","","SO","69.00","57.00","BRMP.BS","351535"
"1289167","INS26","2026-03-01","2026-03-08","SO","68.00","53.00","GPRO.BS","351536"
"1286663","INS26","2026-03-01","2026-03-25","FY","42.00","27.00","INAR.BS","351537"
"1287416","INS26","2026-03-01","","FY","30.00","15.00","WRPB.BS","351538"
"1272575","INS26","2026-03-01","","JR","87.00","75.00","CNCS.BS","351539"
"1272113","INS26","2026-03-01","2026-03-15","JR","93.00","78.00","PWRT.BS","351540"
"1274491","INS26","2026-03-01","2026-03-30","SO","66.00","51.00","INAR.BS","351541"
"1274420","INS26","2026-03-01","2026-03-15","JR","106.00","94.00","GMRT.BFA","351542"
"1272732","INS26","2026-03-01","","SO","54.00","42.00","CNCS.BS","351543"
"1278400","INS26","2026-03-01","2026-03-22","SO","60.00","45.00","CNCS.BS","351544"
"1278921","INS26","2026-03-01","2026-03-22","JR","107.00","95.00","GMRT.BFA","351545"
"1260414","INS26","2026-03-01","2026-03-29","JR","95.00","80.00","INAR.BS","351546"
"1262207","INS26","2026-03-01","2026-03-08","JR","94.00","79.00","CSIN.BS","351547"
"1272455","INS26","2026-03-01","2026-03-26","SO","75.00","62.00","SOWK.BSW","351548"
"1264470","INS26","2026-03-01","2026-03-22","JR","90.00","75.00","CNCS.BS","351549"
"1274162","INS26","2026-03-01","","JR","106.00","90.00","FILM.BFA","351550"
"1274888","INS26","2026-03-01","2026-03-22","JR","91.00","75.00","IXDS.BS","351551"
"1281807","INS26","2026-03-01","2026-03-08","SO","57.00","42.00","VCDS.BFA","351552"
"1282593","INS26","2026-03-01","","SO","80.00","67.00","CREM.BFA","351553"
"1281752","INS26","2026-03-01","","FY","18.00","12.00","EDUC.BS","351554"
"1277734","INS26","2026-03-01","2026-03-18","FY","35.00","19.00","INPS.BS","351555"
"1274724","INS26","2026-03-01","2026-03-22","JR","97.00","82.00","CNCS.BS","351556"
"1262829","INS26","2026-03-01","2026-03-18","SO","89.00","73.00","LAW.BA","351557"
"1281820","INS26","2026-03-01","2026-03-24","FY","57.00","42.00","GDES.BS","351558"
"1287233","INS26","2026-03-01","","FY","12.00","12.00","","351559"
"1274867","INS26","2026-03-01","","SO","87.00","69.00","CSIN.BS","351560"
"1282068","INS26","2026-03-01","","FY","42.00","27.00","ANIM.BFA","351561"
"1278398","INS26","2026-03-01","2026-03-05","FY","53.00","38.00","GMBP.BS","351562"
"1271709","INS26","2026-03-01","","JR","94.00","78.00","FILM.BFA","351563"
"1280143","INS26","2026-03-01","2026-03-19","SO","79.00","64.00","FINA.BS","351564"
"1269283","INS26","2026-03-01","2026-03-26","SO","81.00","67.00","SOWK.BSW","351565"
"1280658","INS26","2026-03-01","2026-03-23","SO","59.00","43.00","INAR.BS","351566"
"1281124","INS26","2026-03-01","","FY","48.00","33.00","GPRO.BS","351567"
"1274561","INS26","2026-03-01","2026-03-22","SO","81.00","69.00","INPS.BS","351568"
"1262785","INS26","2026-03-01","","SO","76.00","63.00","ACCT.BS","351569"
"1278304","INS26","2026-03-01","2026-03-23","SO","61.00","46.00","GMRT.BFA","351570"
"1282040","INS26","2026-03-01","2026-03-24","FY","40.00","25.00","INAR.BS","351571"
"1272222","INS26","2026-03-01","2026-03-23","JR","99.00","83.00","FILM.BFA","351572"
"1271224","INS26","2026-03-01","2026-03-19","SO","88.00","72.00","VCDS.BFA","351573"
"1273336","INS26","2026-03-01","2026-03-25","SO","85.00","69.00","ACCT.BS","351574"
"1289642","INS26","2026-03-01","2026-03-26","FY","59.00","44.00","CNCS.BS","351575"
"1259235","INS26","2026-03-01","2026-03-23","SO","89.00","71.00","EDUC.BS","351576"
"1281190","INS26","2026-03-01","2026-03-05","SO","60.00","45.00","BUSI.BSBA","351577"
"1283906","INS26","2026-03-01","2026-03-22","SO","79.00","67.00","GDES.BS","351578"
"1274226","INS26","2026-03-01","2026-03-22","SO","84.00","69.00","IXDS.BS","351579"
"1286633","INS26","2026-03-01","2026-03-18","FY","36.00","21.00","GPRO.BS","351580"
"1275481","INS26","2026-03-01","","SO","61.00","48.00","GDES.BS","351581"
"1279501","INS26","2026-03-01","2026-03-03","SO","61.00","45.00","GMSD.BS","351582"
"1286299","INS26","2026-03-01","2026-03-18","FY","21.00","9.00","CNCS.BS","351583"
"1276071","INS26","2026-03-01","2026-03-05","JR","100.00","88.00","GMSD.BS","351584"
"1288006","INS26","2026-03-01","","SO","52.00","52.00","","351585"
"1282808","INS26","2026-03-01","","SO","73.00","60.00","GDES.BS","351586"
"1163580","INS26","2026-03-01","","JR","89.00","76.00","PSYC.BS","351587"
"1270270","INS26","2026-03-01","2026-03-08","JR","92.00","76.00","CREM.BFA","351588"
"1291035","INS26","2026-03-01","2026-03-18","FY","24.00","12.00","CREM.BFA","351589"
"1281805","INS26","2026-03-01","2026-03-12","SO","80.00","64.00","GDES.BS","351590"
"1278981","INS26","2026-03-01","2026-03-22","SO","64.00","51.00","CREM.BFA","351591"
"1249030","INS23","2022-10-06","2022-10-20","ALUM","120.00","120.00","","288954"
"1252672","INS23","2022-10-06","2022-10-26","SR","103.00","103.00","","288955"
"1253759","INS23","2022-10-06","2022-10-23","ALUM","120.00","120.00","","288956"
"1255272","INS23","2022-10-06","2022-10-12","ALUM","126.00","126.00","","288957"
"1253793","INS23","2022-10-06","2022-10-12","ALUM","120.00","120.00","","288958"
"1254791","INS23","2022-10-06","2022-10-25","SO","38.00","38.00","","288959"
"1254092","INS23","2022-10-06","2022-10-17","ALUM","120.00","120.00","","288960"
"1252783","INS23","2022-10-06","2022-11-03","SR","110.00","110.00","","288961"
"1254834","INS23","2022-10-06","2022-10-26","ALUM","120.00","120.00","","288962"
"1254201","INS23","2022-10-06","2022-11-02","ALUM","120.00","120.00","","288963"
"1252347","INS23","2022-10-06","2023-01-15","SR","117.00","117.00","","288964"
"1241415","INS23","2022-10-06","2022-10-14","ALUM","120.00","120.00","","288965"
"1253477","INS23","2022-10-06","2022-10-25","ALUM","120.00","120.00","","288966"
"1253845","INS23","2022-10-06","2022-10-19","JR","66.00","66.00","","288967"
"1243641","INS23","2022-10-06","2022-10-17","SR","121.00","118.00","ENPS.BS","288968"
"1254955","INS23","2022-10-06","","FY","24.00","24.00","","288969"
"1252444","INS23","2022-10-06","2022-10-25","ALUM","123.00","123.00","","288970"
"1249179","INS23","2022-10-06","2022-11-06","SO","42.00","42.00","","288971"
"1254613","INS23","2022-10-06","2022-10-26","ALUM","120.00","120.00","","288972"
"0885949","INS23","2022-10-06","","SO","30.00","30.00","","288973"
"1232866","INS23","2022-10-06","2022-12-11","SO","57.00","57.00","","288974"
"1251505","INS23","2022-10-06","2022-10-12","ALUM","126.00","126.00","","288975"
"1252406","INS23","2022-10-06","2022-11-06","SR","120.00","114.00","BUSI.BSBA","288976"
"1254545","INS23","2022-10-06","2022-10-23","JR","109.00","97.00","CNCS.BS","288977"
"1248121","INS23","2022-10-06","","FY","25.00","25.00","","288978"
"1253557","INS23","2022-10-06","2022-10-11","SR","117.00","107.00","PSYC.BS","288979"
"1255269","INS23","2022-10-06","2022-10-12","ALUM","132.00","132.00","","288980"
"1253533","INS23","2022-10-06","2023-01-10","SO","34.00","34.00","","288981"
"1251997","INS23","2022-10-06","2022-11-02","SR","117.00","117.00","","288982"
"1241580","INS23","2022-10-06","","SO","48.00","48.00","","288983"
"1252041","INS23","2022-10-06","2022-10-19","SO","54.00","54.00","","288984"
"1255627","INS23","2022-10-06","2022-11-13","SO","54.00","54.00","","288985"
"1252611","INS23","2022-10-06","2022-10-19","ALUM","120.00","120.00","","288986"
"1255363","INS23","2022-10-06","2022-10-23","JR","98.00","98.00","","288987"
"1253485","INS23","2022-10-06","","SO","30.00","30.00","","288988"
"1256282","INS23","2022-10-06","2022-10-12","ALUM","138.00","138.00","","288989"
"1250899","INS23","2022-10-06","2022-10-23","SO","36.00","36.00","","288990"
"1252633","INS23","2022-10-06","2022-10-20","SR","132.00","123.00","GPMG.BS","288991"
